Date	Depth(m)	phyc_C(mmol/m3)	chl_C(mg/m3)	phyc_E(mmol/m3)	chl_E(mg/m3)	phyc_W(mmol/m3)	chl_W(mg/m3)	phyc_S(mmol/m3)	chl_S(mg/m3)	phyc_N(mmol/m3)	chl_N(mg/m3)
2020-09-16	192.48	0.0926	0.0491	0.0091	0.0102	0.1015	0.0524	0.0665	0.0436	0.0298	0.0213
2020-09-16	203.17	0.0673	0.0359	0.0039	0.0055	0.1006	0.0520	0.0444	0.0308	0.0246	0.0178
2020-09-16	214.25	0.0433	0.0236	0.0020	0.0032	0.0996	0.0516	0.0303	0.0219	0.0214	0.0156
2020-09-16	225.72	0.0290	0.0162	0.0015	0.0022	0.0992	0.0514	0.0217	0.0162	0.0195	0.0142
2020-09-16	237.61	0.0189	0.0110	0.0014	0.0018	0.0987	0.0512	0.0159	0.0122	0.0177	0.0129
2020-09-16	249.92	0.0146	0.0088	0.0013	0.0014	0.0946	0.0494	0.0120	0.0093	0.0161	0.0117
2020-09-16	262.65	0.0134	0.0081	0.0014	0.0012	0.0913	0.0481	0.0093	0.0073	0.0144	0.0105
2020-09-16	275.83	0.0111	0.0069	0.0016	0.0013	0.0895	0.0473	0.0074	0.0058	0.0130	0.0095
2020-09-16	289.46	0.0085	0.0055	0.0019	0.0014	0.0880	0.0467	0.0061	0.0047	0.0116	0.0084
2020-09-16	303.56	0.0066	0.0044	0.0014	0.0010	0.0869	0.0462	0.0050	0.0038	0.0107	0.0078
2020-09-16	318.13	0.0049	0.0034	0.0007	0.0008	0.0861	0.0459	0.0041	0.0032	0.0093	0.0068
2020-09-16	333.19	0.0035	0.0026	0.0007	0.0008	0.0839	0.0449	0.0034	0.0026	0.0081	0.0059
2020-09-16	348.75	0.0023	0.0018	0.0006	0.0007	0.0823	0.0442	0.0027	0.0022	0.0068	0.0050
2020-09-16	364.82	0.0012	0.0012	0.0005	0.0005	0.0808	0.0435	0.0022	0.0018	0.0056	0.0041
2020-09-16	381.42	0.0004	0.0006	0.0003	0.0004	0.0784	0.0425	0.0017	0.0014	0.0045	0.0033
2020-09-16	398.54	0.0001	0.0003	0.0002	0.0003	0.0761	0.0413	0.0012	0.0011	0.0037	0.0026
2020-09-16	416.22	0.0000	0.0002	0.0002	0.0003	0.0741	0.0404	0.0008	0.0008	0.0030	0.0021
2020-09-16	434.46	0.0000	0.0001	0.0002	0.0002	0.0702	0.0383	0.0006	0.0005	0.0023	0.0016
2020-09-16	453.27	0.0000	0.0001	0.0001	0.0002	0.0660	0.0360	0.0004	0.0004	0.0016	0.0012
2020-09-16	472.67	0.0000	0.0002	0.0001	0.0002	0.0621	0.0339	0.0003	0.0003	0.0010	0.0008
2020-09-16	492.67	0.0001	0.0002	0.0001	0.0001	0.0527	0.0288	0.0002	0.0002	0.0006	0.0006
2020-09-16	513.29	0.0002	0.0002	0.0001	0.0001	0.0301	0.0169	0.0002	0.0002	0.0004	0.0004
2020-09-16	534.53	0.0002	0.0003	0.0001	0.0001	0.0226	0.0128	0.0001	0.0002	0.0003	0.0003
2020-09-16	556.41	0.0002	0.0003	0.0001	0.0001	0.0038	0.0028	0.0001	0.0001	0.0002	0.0002
2020-09-16	578.94	0.0002	0.0002	0.0000	0.0001	0.0029	0.0024	0.0001	0.0001	0.0002	0.0002
2020-09-16	602.15	0.0002	0.0002	0.0000	0.0001	0.0025	0.0020	0.0001	0.0001	0.0002	0.0002
2020-09-16	626.03	0.0002	0.0002	0.0000	0.0000	0.0020	0.0016	0.0001	0.0001	0.0002	0.0002
2020-09-16	650.62	0.0001	0.0001	0.0000	0.0000	0.0015	0.0012	0.0001	0.0001	0.0001	0.0001
2020-09-16	675.91	0.0001	0.0001	0.0000	0.0000	0.0011	0.0010	0.0001	0.0001	0.0001	0.0001
2020-09-16	701.93	0.0001	0.0001	0.0000	0.0000	0.0009	0.0008	0.0001	0.0001	0.0001	0.0001
2020-09-16	728.69	0.0001	0.0001	0.0000	0.0000	0.0007	0.0007	0.0001	0.0001	0.0001	0.0001
2020-09-16	756.20	0.0000	0.0001	0.0000	0.0000	0.0006	0.0006	0.0001	0.0001	0.0001	0.0001
2020-09-16	784.47	0.0000	0.0000	0.0000	0.0000	0.0005	0.0005	0.0001	0.0001	0.0001	0.0001
2020-09-16	813.53	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0001	0.0001	0.0001
2020-09-16	843.39	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0001
2020-09-16	874.06	0.0000	0.0000	0.0000	0.0000	0.0003	0.0002	0.0000	0.0000	0.0000	0.0000
2020-09-16	905.55	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000
2020-09-16	937.89	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000
2020-09-16	971.08	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
2020-09-16	1005.14	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
2020-09-16	1040.08	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
2020-09-16	1075.91	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
2020-09-16	1112.66	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1150.34	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1188.95	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1228.52	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1269.05	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1310.56	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1353.07	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1396.58	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1441.11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1486.67	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1533.27	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1580.93	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1629.65	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1679.44	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1730.33	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1782.31	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1835.40	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1889.61	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	1944.95	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2001.42	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2059.03	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2117.79	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2177.71	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2238.80	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2301.06	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2364.49	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2429.11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2494.91	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2561.90	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2630.09	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2699.47	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-16	2770.06	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1.02	0.1453	0.0428	0.1669	0.0410	0.1537	0.0407	0.1486	0.0382	0.1781	0.0454
2020-09-17	3.17	0.1453	0.0428	0.1669	0.0410	0.1537	0.0407	0.1486	0.0382	0.1781	0.0454
2020-09-17	5.46	0.1453	0.0428	0.1669	0.0410	0.1537	0.0407	0.1486	0.0382	0.1781	0.0454
2020-09-17	7.92	0.1453	0.0428	0.1669	0.0410	0.1537	0.0407	0.1486	0.0382	0.1781	0.0454
2020-09-17	10.54	0.1453	0.0428	0.1669	0.0410	0.1537	0.0407	0.1486	0.0382	0.1781	0.0454
2020-09-17	13.32	0.1453	0.0428	0.1669	0.0410	0.1537	0.0407	0.1486	0.0382	0.1781	0.0454
2020-09-17	16.27	0.1453	0.0428	0.1669	0.0410	0.1537	0.0407	0.1486	0.0382	0.1781	0.0454
2020-09-17	19.40	0.1453	0.0428	0.1649	0.0409	0.1596	0.0426	0.1487	0.0382	0.1779	0.0454
2020-09-17	22.71	0.1453	0.0428	0.1574	0.0400	0.1721	0.0467	0.1595	0.0408	0.1774	0.0455
2020-09-17	26.20	0.1453	0.0428	0.1496	0.0385	0.1939	0.0531	0.1838	0.0472	0.1707	0.0452
2020-09-17	29.89	0.1453	0.0428	0.1563	0.0399	0.2201	0.0615	0.2134	0.0554	0.1455	0.0430
2020-09-17	33.77	0.1771	0.0588	0.1694	0.0443	0.2463	0.0707	0.2376	0.0630	0.1414	0.0411
2020-09-17	37.85	0.1963	0.0635	0.1863	0.0507	0.2757	0.0821	0.2646	0.0726	0.1470	0.0427
2020-09-17	42.15	0.2187	0.0704	0.2063	0.0588	0.3050	0.0939	0.2916	0.0832	0.1645	0.0487
2020-09-17	46.65	0.2520	0.0819	0.2289	0.0683	0.3338	0.1057	0.3207	0.0949	0.1932	0.0589
2020-09-17	51.38	0.2948	0.0964	0.2547	0.0788	0.3632	0.1172	0.3519	0.1073	0.2305	0.0723
2020-09-17	56.33	0.3474	0.1139	0.2854	0.0906	0.3995	0.1304	0.3847	0.1203	0.2748	0.0880
2020-09-17	61.52	0.4128	0.1363	0.3229	0.1046	0.4538	0.1487	0.4208	0.1342	0.3259	0.1061
2020-09-17	66.95	0.4979	0.1661	0.3697	0.1221	0.5383	0.1764	0.4637	0.1504	0.3866	0.1280
2020-09-17	72.62	0.6110	0.2066	0.4288	0.1443	0.6555	0.2151	0.5201	0.1711	0.4649	0.1566
2020-09-17	78.55	0.7558	0.2594	0.5016	0.1722	0.8013	0.2651	0.5986	0.1995	0.5678	0.1949
2020-09-17	84.74	0.9273	0.3240	0.5874	0.2062	0.9347	0.3159	0.6985	0.2358	0.6957	0.2441
2020-09-17	91.20	1.0445	0.3768	0.6845	0.2462	0.9991	0.3503	0.8100	0.2778	0.8383	0.3023
2020-09-17	97.93	1.0004	0.3794	0.7848	0.2913	0.9812	0.3605	0.9159	0.3215	0.9588	0.3593
2020-09-17	104.94	0.8157	0.3295	0.8738	0.3370	0.8650	0.3352	0.9874	0.3591	1.0007	0.3959
2020-09-17	112.25	0.6938	0.2952	0.9030	0.3662	0.6818	0.2804	1.0096	0.3833	0.9156	0.3874
2020-09-17	119.86	0.5187	0.2337	0.8465	0.3649	0.4995	0.2182	0.9609	0.3839	0.7257	0.3299
2020-09-17	127.77	0.3750	0.1781	0.6924	0.3201	0.3294	0.1534	0.8433	0.3573	0.4896	0.2388
2020-09-17	136.00	0.2818	0.1389	0.4668	0.2310	0.2245	0.1115	0.6529	0.2952	0.3011	0.1585
2020-09-17	144.55	0.2256	0.1138	0.2870	0.1536	0.1651	0.0865	0.4462	0.2155	0.1801	0.1030
2020-09-17	153.43	0.1864	0.0953	0.1635	0.0958	0.1232	0.0681	0.2852	0.1481	0.1078	0.0669
2020-09-17	162.66	0.1574	0.0810	0.0893	0.0581	0.0860	0.0506	0.1759	0.0986	0.0666	0.0445
2020-09-17	172.24	0.1328	0.0686	0.0481	0.0351	0.0658	0.0404	0.1050	0.0637	0.0437	0.0309
2020-09-17	182.18	0.1116	0.0576	0.0263	0.0214	0.0584	0.0364	0.0687	0.0445	0.0310	0.0228
2020-09-17	192.48	0.0923	0.0475	0.0152	0.0134	0.0554	0.0347	0.0422	0.0291	0.0241	0.0180
2020-09-17	203.17	0.0781	0.0399	0.0102	0.0090	0.0521	0.0327	0.0313	0.0224	0.0200	0.0151
2020-09-17	214.25	0.0524	0.0270	0.0083	0.0069	0.0497	0.0312	0.0248	0.0181	0.0176	0.0133
2020-09-17	225.72	0.0386	0.0200	0.0079	0.0060	0.0490	0.0308	0.0210	0.0154	0.0162	0.0122
2020-09-17	237.61	0.0263	0.0138	0.0076	0.0054	0.0485	0.0305	0.0181	0.0133	0.0149	0.0112
2020-09-17	249.92	0.0190	0.0103	0.0075	0.0050	0.0466	0.0293	0.0145	0.0107	0.0137	0.0103
2020-09-17	262.65	0.0161	0.0088	0.0078	0.0049	0.0442	0.0279	0.0126	0.0092	0.0125	0.0094
2020-09-17	275.83	0.0122	0.0070	0.0087	0.0053	0.0439	0.0277	0.0104	0.0076	0.0115	0.0086
2020-09-17	289.46	0.0062	0.0040	0.0098	0.0057	0.0438	0.0276	0.0090	0.0065	0.0105	0.0078
2020-09-17	303.56	0.0044	0.0030	0.0082	0.0047	0.0439	0.0276	0.0071	0.0053	0.0096	0.0072
2020-09-17	318.13	0.0029	0.0021	0.0039	0.0026	0.0438	0.0276	0.0067	0.0049	0.0086	0.0064
2020-09-17	333.19	0.0020	0.0015	0.0019	0.0015	0.0428	0.0270	0.0042	0.0032	0.0075	0.0056
2020-09-17	348.75	0.0012	0.0010	0.0010	0.0009	0.0424	0.0268	0.0035	0.0027	0.0063	0.0047
2020-09-17	364.82	0.0007	0.0007	0.0006	0.0006	0.0418	0.0264	0.0028	0.0022	0.0052	0.0039
2020-09-17	381.42	0.0003	0.0004	0.0004	0.0004	0.0405	0.0257	0.0022	0.0018	0.0043	0.0031
2020-09-17	398.54	0.0002	0.0002	0.0003	0.0003	0.0388	0.0247	0.0015	0.0013	0.0036	0.0026
2020-09-17	416.22	0.0001	0.0002	0.0002	0.0003	0.0375	0.0237	0.0010	0.0009	0.0031	0.0022
2020-09-17	434.46	0.0001	0.0001	0.0002	0.0002	0.0333	0.0211	0.0006	0.0006	0.0026	0.0017
2020-09-17	453.27	0.0001	0.0001	0.0001	0.0002	0.0286	0.0183	0.0004	0.0004	0.0019	0.0013
2020-09-17	472.67	0.0001	0.0001	0.0001	0.0002	0.0228	0.0148	0.0003	0.0003	0.0013	0.0009
2020-09-17	492.67	0.0001	0.0002	0.0001	0.0001	0.0178	0.0116	0.0002	0.0002	0.0008	0.0006
2020-09-17	513.29	0.0001	0.0002	0.0001	0.0001	0.0115	0.0078	0.0002	0.0002	0.0005	0.0004
2020-09-17	534.53	0.0002	0.0002	0.0001	0.0001	0.0073	0.0051	0.0001	0.0002	0.0003	0.0003
2020-09-17	556.41	0.0002	0.0002	0.0000	0.0001	0.0035	0.0027	0.0001	0.0002	0.0002	0.0002
2020-09-17	578.94	0.0002	0.0002	0.0000	0.0001	0.0023	0.0020	0.0001	0.0001	0.0002	0.0002
2020-09-17	602.15	0.0002	0.0002	0.0000	0.0001	0.0018	0.0016	0.0001	0.0001	0.0002	0.0002
2020-09-17	626.03	0.0001	0.0001	0.0000	0.0000	0.0015	0.0013	0.0001	0.0001	0.0001	0.0002
2020-09-17	650.62	0.0001	0.0001	0.0000	0.0000	0.0012	0.0010	0.0001	0.0001	0.0001	0.0001
2020-09-17	675.91	0.0001	0.0001	0.0000	0.0000	0.0010	0.0009	0.0001	0.0001	0.0001	0.0001
2020-09-17	701.93	0.0001	0.0001	0.0000	0.0000	0.0008	0.0007	0.0001	0.0001	0.0001	0.0001
2020-09-17	728.69	0.0001	0.0001	0.0000	0.0000	0.0007	0.0006	0.0001	0.0001	0.0001	0.0001
2020-09-17	756.20	0.0000	0.0001	0.0000	0.0000	0.0006	0.0005	0.0001	0.0001	0.0001	0.0001
2020-09-17	784.47	0.0000	0.0000	0.0000	0.0000	0.0005	0.0004	0.0001	0.0001	0.0001	0.0001
2020-09-17	813.53	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	0.0000	0.0001	0.0001	0.0001
2020-09-17	843.39	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000
2020-09-17	874.06	0.0000	0.0000	0.0000	0.0000	0.0003	0.0002	0.0000	0.0000	0.0000	0.0000
2020-09-17	905.55	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000
2020-09-17	937.89	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000
2020-09-17	971.08	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
2020-09-17	1005.14	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
2020-09-17	1040.08	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
2020-09-17	1075.91	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
2020-09-17	1112.66	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000
2020-09-17	1150.34	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1188.95	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1228.52	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1269.05	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1310.56	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1353.07	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1396.58	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1441.11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1486.67	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1533.27	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1580.93	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1629.65	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1679.44	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1730.33	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1782.31	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1835.40	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1889.61	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	1944.95	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2001.42	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2059.03	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2117.79	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2177.71	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2238.80	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2301.06	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2364.49	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2429.11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2494.91	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2561.90	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2630.09	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2699.47	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-17	2770.06	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2020-09-18	1.02	0.1486	0.0442	0.1677	0.0428	0.1573	0.0432	0.1501	0.0413	0.1738	0.0466
2020-09-18	3.17	0.1486	0.0442	0.1677	0.0428	0.1573	0.0432	0.1501	0.0413	0.1738	0.0466
2020-09-18	5.46	0.1486	0.0442	0.1677	0.0428	0.1573	0.0432	0.1501	0.0413	0.1738	0.0466
2020-09-18	7.92	0.1486	0.0442	0.1677	0.0428	0.1573	0.0432	0.1501	0.0413	0.1738	0.0466
2020-09-18	10.54	0.1486	0.0442	0.1677	0.0428	0.1573	0.0432	0.1501	0.0413	0.1738	0.0466
2020-09-18	13.32	0.1486	0.0442	0.1676	0.0428	0.1573	0.0432	0.1501	0.0413	0.1738	0.0466
2020-09-18	16.27	0.1486	0.0442	0.1676	0.0428	0.1573	0.0432	0.1501	0.0413	0.1738	0.0466
